"HealthTopic","Population","Indicator","Unit","Time","RegionCode","RegionName","NumValue","TxtValue"
"Crimean-Congo haemorrhagic fever","All cases","Age standardised rate","N/100000","2003","EU27_21","EU (without UK)",0.000000000,""
"Crimean-Congo haemorrhagic fever","All cases","Age standardised rate","N/100000","2003","EU27_UK_21","EU (with UK until 2019)",0.000000000,""
"Crimean-Congo haemorrhagic fever","All cases","Age standardised rate","N/100000","2003","EUEEA30_21","EU/EEA (without UK)",0.000000000,""
"Crimean-Congo haemorrhagic fever","All cases","Age standardised rate","N/100000","2003","EUEEAUK_21","EU/EEA (with UK until 2019)",0.000000000,""
"Crimean-Congo haemorrhagic fever","All cases","Age standardised rate","N/100000","2003","PL","Poland",0.000000000,""
"Crimean-Congo haemorrhagic fever","All cases","Age standardised rate","N/100000","2004","EU27_21","EU (without UK)",0.000000000,""
"Crimean-Congo haemorrhagic fever","All cases","Age standardised rate","N/100000","2004","EU27_UK_21","EU (with UK until 2019)",0.000000000,""
"Crimean-Congo haemorrhagic fever","All cases","Age standardised rate","N/100000","2004","EUEEA30_21","EU/EEA (without UK)",0.000000000,""
"Crimean-Congo haemorrhagic fever","All cases","Age standardised rate","N/100000","2004","EUEEAUK_21","EU/EEA (with UK until 2019)",0.000000000,""
"Crimean-Congo haemorrhagic fever","All cases","Age standardised rate","N/100000","2004","PL","Poland",0.000000000,""
"Crimean-Congo haemorrhagic fever","All cases","Age standardised rate","N/100000","2005","EU27_21","EU (without UK)",0.000000000,""
"Crimean-Congo haemorrhagic fever","All cases","Age standardised rate","N/100000","2005","EU27_UK_21","EU (with UK until 2019)",0.000000000,""
"Crimean-Congo haemorrhagic fever","All cases","Age standardised rate","N/100000","2005","EUEEA30_21","EU/EEA (without UK)",0.000000000,""
"Crimean-Congo haemorrhagic fever","All cases","Age standardised rate","N/100000","2005","EUEEAUK_21","EU/EEA (with UK until 2019)",0.000000000,""
"Crimean-Congo haemorrhagic fever","All cases","Age standardised rate","N/100000","2005","PL","Poland",0.000000000,""
"Crimean-Congo haemorrhagic fever","All cases","Age standardised rate","N/100000","2006","CY","Cyprus",0.000000000,""
"Crimean-Congo haemorrhagic fever","All cases","Age standardised rate","N/100000","2006","EU27_21","EU (without UK)",0.000000000,""
"Crimean-Congo haemorrhagic fever","All cases","Age standardised rate","N/100000","2006","EU27_UK_21","EU (with UK until 2019)",0.000000000,""
